Household_ID,Cluster_ID,Province,District,Area_Type,Habitat_Type,Dwelling_Type,Sleeping_Rooms,Dwelling_Owner,Occupancy_Status,Dwelling_Value_RWF,Estimated_Rent,Actual_Rent_Paid,Own_Residential_House,How_Acquired_House,Main_Water_Source,Distance_Water_Source_m,Time_To_Water_Source_min,Drinking_Water_Source,Water_Insufficiency_4weeks,Rainwater_Harvesting,Connected_To_Grid,Main_Lighting_Source,Electricity_Bill_RWF,Has_Internet,Cook_Stove_Type,Cooking_Fuel_Primary,Cooking_Location,Garbage_Disposal,Toilet_Type,Toilet_Shared,Environmental_Disaster,Wall_Material,Roof_Material,Floor_Material,Floor_Area_sqm,Own_Livestock,Cattle,Goats,Sheep,Pigs,Poultry,Consumption_Quintile,HH_Weight,Population_Weight,Extreme_Poverty,Poverty_Rate,Welfare_Category,Strata_ID,Rent_Final,Value_Per_Sqm,Rent_Per_Sqm,Room_Density,Internet_Flag,Urban_Flag,Value_Per_Room,Rent_Value_Ratio
302445,10273,Southern,Gisagara,Rural,Umudugudu (Planned rural settlement),House occupied by one household,2,Spouse with head,Owner occupied,1000000,10000,,,Constructed,Protected spring,1700,50,Protected spring,"No, always sufficient",No measures,,Standalone solar system,0,No,Improved cooking stove,Firewood,In a separate dwelling,Thrown in the household?s fields or bushes,Pit Latrine with constructed floor slab,No,No,Tree trunks with  mud and cement,Local clay tiles,Cement,45,Yes,0,3,0,0,0,Q3,209.1921017,1045.960449,Non Extreme Poor,Non Poor,Non Poor,222,10000,22222.22222,222.2222222,0.044444444,0,0,500000,0.01
302446,10273,Southern,Gisagara,Rural,Umudugudu (Planned rural settlement),House occupied by one household,2,Head,Owner occupied,1000000,4000,,,Received as gift,Protected spring,900,60,Protected spring,"No, always sufficient",No measures,,Standalone solar system,0,No,Improved cooking stove,Firewood,In a veranda (roofed platform with at least two open sides),Thrown in the household?s fields or bushes,Pit Latrine with constructed floor slab,No,No,Tree trunks with  mud and cement,Metal sheets/corrugated iron,Beaten earth,30,Yes,1,2,0,1,1,Q2,209.1921017,627.5762939,Non Extreme Poor,Non Poor,Non Poor,222,4000,33333.33333,133.3333333,0.066666667,0,0,500000,0.004
302447,10273,Southern,Gisagara,Rural,Dispersed/Isolated housing,House occupied by one household,2,Spouse with head,Owner occupied,180000,2000,,,Constructed,Protected spring,800,50,Protected spring,"No, always sufficient",No measures,0,Torch (rechargeable or not)/Phone flashligh,0,No,Three stone/Traditional stove,Firewood,"In dwelling, not in  sleeping area",Compost heap on own property,Pit latrine without constructed floor slab,No,No,Tree trunks with mud,Metal sheets/corrugated iron,Beaten earth,8,No,,,,,,Q3,209.1921017,1255.152588,Non Extreme Poor,Non Poor,Non Poor,222,2000,22500,250,0.25,0,0,90000,0.011111111
302448,10273,Southern,Gisagara,Rural,Dispersed/Isolated housing,House occupied by one household,4,Non relative,Dwelling provided free of charge,1500000,5000,,No,,Protected spring,1200,80,Protected spring,"No, always sufficient",No measures,0,Torch (rechargeable or not)/Phone flashligh,0,No,Three stone/Traditional stove,Firewood,In a separate dwelling,Thrown in the household?s fields or bushes,Pit Latrine with constructed floor slab,No,No,Mud bricks,Local clay tiles,Cement,56,Yes,0,3,0,0,0,Q1,209.1921017,1045.960449,Non Extreme Poor,1,Moderately poor,222,5000,26785.71429,89.28571429,0.071428571,0,0,375000,0.003333333
302449,10273,Southern,Gisagara,Rural,Umudugudu (Planned rural settlement),House occupied by one household,3,Spouse with head,Owner occupied,3000000,10000,,,Constructed,Protected spring,1200,60,Protected spring,"Yes, at least once",No measures,,Standalone solar system,0,No,Three stone/Traditional stove,Firewood,In a separate dwelling,Thrown in the household?s fields or bushes,Pit Latrine with constructed floor slab,No,No,Tree trunks with  mud and cement,Metal sheets/corrugated iron,Beaten earth,52.81,Yes,1,0,0,2,0,Q3,209.1921017,836.7684326,Non Extreme Poor,Non Poor,Non Poor,222,10000,56807.42284,189.3580761,0.056807423,0,0,1000000,0.003333333
302450,10273,Southern,Gisagara,Rural,Dispersed/Isolated housing,House occupied by one household,2,Head,Owner occupied,800000,5000,,,Constructed,Protected spring,800,50,Protected spring,"Yes, at least once",No measures,0,Torch (rechargeable or not)/Phone flashligh,0,No,Improved cooking stove,Firewood,"In dwelling, not in  sleeping area",Compost heap on own property,Pit latrine without constructed floor slab,No,Yes,Tree trunks with mud,Local clay tiles,Beaten earth,27.34,No,,,,,,Q1,209.1921017,1045.960449,Non Extreme Poor,1,Moderately poor,222,5000,29261.15582,182.8822238,0.07315289,0,0,400000,0.00625
302451,10273,Southern,Gisagara,Rural,Dispersed/Isolated housing,House occupied by one household,2,Non relative,Dwelling provided free of charge,1500000,4000,,No,,Protected spring,800,60,Protected spring,"Yes, at least once",No measures,0,Torch (rechargeable or not)/Phone flashligh,0,No,Three stone/Traditional stove,Firewood,"In dwelling, in a sleeping area",Thrown in the household?s fields or bushes,No toilet /Bush/Field,,Yes,Mud bricks,Metal sheets/corrugated iron,Beaten earth,45.79,No,,,,,,Q2,209.1921017,627.5762939,Non Extreme Poor,Non Poor,Non Poor,222,4000,32758.24416,87.35531775,0.043677659,0,0,750000,0.002666667
302452,10274,Southern,Gisagara,Rural,Dispersed/Isolated housing,House occupied by one household,2,Spouse with head,Owner occupied,500000,4000,,,Constructed,Protected spring,1000,60,Protected spring,"No, always sufficient",No measures,0,Torch (rechargeable or not)/Phone flashligh,0,No,Three stone/Traditional stove,Firewood,"In dwelling, not in  sleeping area",Thrown in the household?s fields or bushes,Pit latrine without constructed floor slab,No,Yes,Tree trunks with mud,Local clay tiles,Beaten earth,20,No,,,,,,Q3,214.8185703,644.4556885,Non Extreme Poor,Non Poor,Non Poor,222,4000,25000,200,0.1,0,0,250000,0.008
302453,10274,Southern,Gisagara,Rural,Dispersed/Isolated housing,House occupied by one household,2,Head,Owner occupied,200000,2000,,,Constructed,Protected spring,900,60,Protected spring,"No, always sufficient",No measures,0,Torch (rechargeable or not)/Phone flashligh,0,No,Improved cooking stove,Firewood,In a separate dwelling,Compost heap on own property,Pit latrine without constructed floor slab,No,No,Mud bricks,Metal sheets/corrugated iron,Beaten earth,15,Yes,1,1,0,1,1,Q3,214.8185703,859.274292,Non Extreme Poor,Non Poor,Non Poor,222,2000,13333.33333,133.3333333,0.133333333,0,0,100000,0.01
302454,10274,Southern,Gisagara,Rural,Dispersed/Isolated housing,House occupied by one household,1,Spouse with head,Owner occupied,500000,4000,,,Constructed,Protected spring,1000,60,Protected spring,"No, always sufficient",No measures,0,Torch (rechargeable or not)/Phone flashligh,0,No,Three stone/Traditional stove,Firewood,"In dwelling, not in  sleeping area",Thrown in the household?s fields or bushes,Pit latrine without constructed floor slab,Yes,No,Tree trunks with mud,Local clay tiles,Beaten earth,30,No,,,,,,Q2,214.8185703,644.4556885,Non Extreme Poor,1,Moderately poor,222,4000,16666.66667,133.3333333,0.033333333,0,0,500000,0.008
